sample;year;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;Sitosterol-TMS;Chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-TMS;Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;maybe-single-22-dihydrochondrillasterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;4a-23-24-cholest-17-20-en-3b-ol-TMS;Triterpenoid-mz-189-371-plus-alcohol-mz-227-410-500-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;;;;;;;;;;;;;;;;;;;
GRE18_2018-2016-F3;2017;0.183556012;0.236176773;0.064234327;0.069886948;0.004624872;0.158478931;0.010894142;0.087153135;0.019116136;0.007913669;0.023021583;0.050359712;0.012230216;0.016443988;0.013463515;0.008324769;0.032168551;0.001952724;;;;;;;;;;;;;;;;;;;
GRE18_2015-2013-F3;2014;0.112172959;0.189513813;0.072014204;0.06757533;0.016293279;0.134941772;0.028147684;0.141156196;0.027834352;0.003968876;0.031542117;0.072014204;0.020314377;0.016032169;0.010809964;0.009399969;0.042508747;0.003759987;;;;;;;;;;;;;;;;;;;
GRE18_2012-2010-F3;2011;0.10164937;0.149740549;0.07153447;0.072924388;0.017790956;0.120366938;0.090252039;0.145663454;0.025389177;0.004725723;0.018254262;0.045867309;0.049481097;0.024184581;0.008710156;0.01278725;0.03391401;0.00676427;;;;;;;;;;;;;;;;;;;
GRE18_2009-2007-F3;2008;0.101631117;0.127523668;0.062050873;0.071518193;0.017565872;0.116231322;0.104140527;0.153302156;0.023155013;0.008668872;0.014029885;0.044142808;0.056461731;0.030341052;0.006273526;0.01528459;0.039009924;0.008668872;;;;;;;;;;;;;;;;;;;
GRE18_2006-2004-F3;2005;0.12248996;0.147813476;0.068161535;0.058790718;0.026215975;0.145693887;0;0.179384203;0.026996876;0.005577867;0.0159527;0.046519411;0.016733601;0.048639;0.006804998;0.020638108;0.052208835;0.011378849;;;;;;;;;;;;;;;;;;;
GRE18_2003-2001-F3;2002;0.108927344;0.132133853;0.079933532;0.05071052;0.037130415;0.135228054;0;0.201696081;0.030827412;0.007506303;0.018565207;0.044694018;0.011861105;0.052028421;0.009282604;0.016846207;0.055065322;0.007563603;;;;;;;;;;;;;;;;;;;
GRE18_2000-1998-F3;1999;0.114251249;0.118904015;0.067723591;0.05583319;0.04032397;0.114595899;0.016543167;0.191280372;0.039979321;0.011545752;0.010167155;0.051697398;0.011718077;0.052214372;0.005514389;0.018783388;0.063932449;0.014992245;;;;;;;;;;;;;;;;;;;
GRE18_1997-1995-F3;1996;0.111124474;0.120144317;0.065544197;0.045339747;0.034996993;0.108478653;0.017558629;0.199158148;0.034756464;0.01286831;0.021767889;0.06193626;0.018400481;0.067227901;0.012507517;0.015153337;0.046542393;0.006494287;;;;;;;;;;;;;;;;;;;
GRE18_1991-1989-F3;1990;0.065265183;0.12146194;0.061830173;0.040120912;0.026380874;0.063753779;0.142071998;0.152651827;0.030090684;0.021159659;0.017037648;0.052899148;0.036273702;0.06416598;0.008244023;0.024594669;0.063341577;0.008656224;;;;;;;;;;;;;;;;;;;
GRE18_1985-1983-F3;1984;0.059094508;0.089253581;0.039084431;0.052832362;0.021593608;0.052832362;0.228604333;0.103361405;0.036709134;0.011156698;0.012236378;0.056503275;0.030446988;0.052256532;0.00662204;0.047290002;0.080904052;0.019218311;;;;;;;;;;;;;;;;;;;
