sample,year_CE,C16-alkanol-ug.gTOC,alcohol-mz-84-97-279-ug.gTOC,C18-alkanol-ug.gTOC,Phytol-ug.gTOC,alcohol-mz-57-267-95-497-ug.gTOC,C20-alkanol-ug.gTOC,C22-alkanol-ug.gTOC,C24-alkanol-ug.gTOC,C26-alkanol-ug.gTOC,C28-alkanol-ug.gTOC,cholesterol-ug.gTOC,cholestanol-ug.gTOC,Brassicasterol-ug.gTOC,Campasterol-plus-x-co-elutingug.gTOC,Campastanol-plus-x-ug.gTOC,Stigmasterol_ug.gTOC,4a-desmethyl-dinosterol-ug.gTOC,C30-alkanol-ug.gTOC,unknown-compound-M486,Fungisterol-ug.gTOC,Sitosterol-ug.gTOC,Chondrillasterol-ug.gTOC,Sitostanol-ug.gTOC,4a-24-dimethyl-5a-cholestan-3b-ol-ug.gTOC,Amyrin-ug.gTOC,Dehydrodinosterol-ug.gTOC,Dinosterol.ug.gTOC,maybe-single-22-dihydrochondrillasterol-ug.gTOC,a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-ug.gTOC,4a-23-24-cholest-17-20-en-3b-ol-ug.gTOC,Triterpenoid-mz-189-371-plus-alcohol-mz-227-410-500-ug.gTOC,Dinostanol-plus-isomer.ug.gTOC,maybe-another-Dinostanol-isomer-ug.gTOC,sterol-mz-75-255-388-500-ug.gTOC,C32-alkanol-ug.gTOC,maybe-Lanosterol-plus-co-eluter-ug.gTOC,Tetrahymanol-ug.gTOC,Diplopterol-ug.gTOC
GRE18_2018-2016-F3,2017,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2015-2013-F3,2014,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2012-2010-F3,2011,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2009-2007-F3,2008,55.81129638,244.0636849,169.2056763,961.1945487,210.8426752,133.3269858,144.4006557,96.11945487,300.3179281,123.1392095,344.6126078,393.3367554,394.6655958,495.2145186,240.9630574,277.7276415,68.21380668,112.0655396,120.4815287,184.7088142,451.3627858,404.4104253,595.3204947,89.91819972,33.66395654,54.48245599,171.4204103,219.2586643,117.8238479,24.36207382,59.35487075,151.4878045,33.66395654,40.30815849,50.93888161,0,231.2182278,300.3179281
GRE18_2006-2004-F3,2005,61.47101533,146.1238966,125.8072051,1440.401334,176.3384635,111.4813329,92.20652299,78.14112118,235.986186,101.5834575,302.6666094,191.7062173,285.9965035,345.1232852,159.1474168,137.2679029,61.21054493,66.68042341,78.92253239,43.75902786,340.1743475,0,418.8364095,63.03383775,13.0235202,37.24726776,108.6161584,39.07056059,113.5650961,15.88869464,48.18702473,121.900149,26.5679812,42.45667584,41.15432382,0,194.5713917,257.6052295
GRE18_2003-2001-F3,2002,66.67405831,173.9569623,186.4229336,1317.426506,139.7699806,129.9483063,152.2359518,98.21674312,410.6215376,188.3117171,406.6550922,178.6789211,359.0577474,435.5534801,263.4853013,167.1573417,122.3931722,81.02881307,156.3912756,61.38546445,445.7529111,0,664.8517996,101.6165535,24.74306413,61.1965861,147.3251147,39.0978189,171.5015438,30.59829305,55.53023553,181.5120964,24.93194248,41.93099418,90.09497398,12.27709289,292.3836891,490.7059589
GRE18_2000-1998-F3,1999,37.6592794,101.129975,223.8399866,638.9383359,29.19651999,119.7480457,98.5911472,63.04755765,219.6086068,94.35976749,258.1141622,139.6355304,280.5404746,291.9651999,166.2932225,137.0967025,99.01428517,52.04597041,99.43742314,43.58321099,281.3867506,40.6212452,469.6831476,98.16800923,28.35024404,24.96514028,126.9413912,28.77338201,128.2108052,13.54041507,46.12203882,156.9841872,36.81300346,30.88907187,47.8145907,0,225.5325384,269.9620254
GRE18_1997-1995-F3,1996,37.46834367,91.69884108,169.5935555,1416.237657,205.7472205,135.7405784,116.6777369,81.83875064,379.9421516,142.313972,251.1036365,135.4119087,303.6907855,328.3410116,179.1249763,123.9084698,95.64287725,52.25847932,125.8804879,51.27247028,296.4600525,47.98577347,544.2769922,94.98553789,35.1676559,59.48921231,169.2648859,50.28646124,183.7263518,34.18164685,41.41237984,127.1951667,17.74816279,25.63623514,68.03462403,0,268.1944599,389.4735723
GRE18_1991-1989-F3,1990,32.37374335,91.82370841,252.5151981,681.6144509,230.1478845,191.888006,211.9008656,225.4389764,817.5841729,258.4013333,353.1681093,178.3498952,279.5914198,520.3343477,264.8760819,171.8751465,113.013795,45.9118542,190.710779,181.2929628,273.1166712,608.626375,653.9496157,128.9063599,90.64648138,72.98807591,226.6162034,155.3939681,274.8825117,35.31681093,105.3618193,271.3508306,37.08265147,59.44996506,123.0202247,0,325.503274,537.9927531
GRE18_1985-1983-F3,1984,40.63030244,156.4266644,391.7438327,1592.36927,214.6634312,180.46626,158.4581795,164.5527249,576.6117088,127.308281,318.2707024,201.1199971,277.9789858,419.8464585,183.8521185,248.5220166,101.5757561,46.7248478,241.4117137,265.1127234,248.5220166,1075.348671,486.2092858,172.6787854,52.48080732,57.55959512,265.7898951,143.2218161,245.8133297,31.14989854,222.4509058,380.5704995,90.40242292,68.39434244,74.4888878,0,321.9951468,649.4076673
