Year;d2H_C16.0;SD_d2H_C16.0;d2H_phytol;SD_d2H_phytol;epsilon_C16.0.phytol;
1840;-208.8077802;1.82976098;-371.9956355;0.88273632;259.8514668;
1850;-205.9207212;3.237711071;-375.7347919;1.635827683;272.0223207;
1860;-208.1190696;2.269617659;-377.1107423;2.778389858;271.3029172;
1870;-210.3352167;0.687587546;-370.8247509;2.778389858;255.0792238;
1880;-211.9197517;1.046654023;-371.448602;2.778389858;253.8039862;
1910;-217.2526911;5.525648301;-374.5159484;4.225940856;251.4264862;
1920;-200.4775786;2.172783206;-373.3657799;2.778389858;275.8997127;
1930;-214.494313;1.189197531;-377.9792063;9.225310553;262.8286626;
1936;-214.9513232;4.838539126;-379.5720907;3.224838051;265.3342395;
1939;-215.7119434;2.269617659;-380.4247159;2.735344497;265.8478748;
1942;-211.8154846;1.081275009;-384.957488;2.778389858;281.5122533;
1945;-199.000209;1.752426172;-376.734028;2.493272168;285.1652857;
1948;-209.0273537;0.410432918;-383.9935274;2.778389858;284.0330116;
1951;-209.1481922;1.461372585;-390.1699459;4.197657777;296.8396728;
1954;-226.435191;2.438697354;-381.9941618;0.445423397;251.7111672;
1957;-222.6452908;1.17308675;-386.5624338;0.421436632;267.2108004;
1963;-214.6254729;6.453139497;-381.7655182;1.433286742;270.3505712;
1966;-201.5626079;5.017107022;-385.7243571;2.778389858;299.8031117;
1969;-203.7099827;2.236429496;-370.8592345;3.235734692;265.6786223;
1972;-189.9629259;1.562950785;-375.2791792;2.244178485;296.6385098;
1975;-191.7648914;2.272061177;-371.874237;0.683511881;286.7408984;
1978;-196.4899889;1.015401747;-374.8562091;1.137307307;285.32031;
1981;-185.2418441;0.707121125;-364.2519613;3.665481836;281.5739984;
1984;-189.8907999;3.403830949;-375.2551214;4.68460056;296.7040273;
1987;-196.3690744;0.957603029;-375.0342675;2.778389858;285.8799832;
1990;-206.9720153;3.523396823;-383.5943189;1.092787747;286.5358139;
1993;-207.4465517;2.946907317;-397.9778211;2.778389858;316.4854652;
1996;-208.1154696;1.445147885;-379.9049123;1.272132528;277.037258;
1999;-211.8371607;0.551093463;-377.1162319;2.778389858;265.3449644;
2002;-207.6501872;3.19255675;-387.5149823;2.778389858;293.6639917;
2008;-205.09046;1.844964524;-388.7969223;7.805923165;300.5653424;
2017;-226.0621084;2.113645602;-393.9195012;1.603454137;276.9556075;
