depth,min.95,max.95,median,mean
0,2023.3,2023.3,2023.3,2023.3
1,2018.9,2022.6,2021.4,2021.2
2,2015.6,2021.6,2019.4,2019.2
3,2012.7,2020.5,2017.4,2017.2
4,2010,2019.1,2015.4,2015.2
5,2007.6,2017.7,2013.4,2013.2
6,2005.3,2016.3,2011.4,2011.2
7,2003.2,2014.5,2009.3,2009.2
8,2001,2012.7,2007.3,2007.2
9,1998.9,2010.9,2005.2,2005.1
10,1997.1,2008.9,2003.1,2003
11,1995.1,2006.8,2001,2001
12,1993.5,2004.9,1999,1999
13,1991.9,2002.7,1996.9,1997
14,1990.3,2000.5,1995,1995.1
15,1988.8,1998,1993,1993.1
16,1987.4,1995.6,1991,1991.1
17,1986.1,1992.8,1989,1989.1
18,1984.6,1990.2,1987.2,1987.2
19,1982.6,1988.3,1985.3,1985.4
20,1980.2,1986.9,1983.6,1983.6
21,1978.2,1985.5,1982,1982
22,1976.2,1984.2,1980.3,1980.3
23,1974.3,1982.7,1978.6,1978.6
24,1972.5,1981.2,1977,1976.9
25,1970.8,1979.7,1975.3,1975.3
26,1969.2,1978.1,1973.6,1973.6
27,1967.8,1976.4,1972,1972
28,1966.4,1974.7,1970.3,1970.4
29,1965,1972.8,1968.6,1968.7
30,1963.7,1970.7,1967,1967
31,1962.4,1968.5,1965.4,1965.4
32,1960.8,1966.3,1963.7,1963.7
33,1958.8,1964.6,1961.9,1961.8
34,1955.8,1963.3,1960.1,1959.9
35,1953,1962,1958.2,1958
36,1950,1960.7,1956.2,1956
37,1947.2,1959.2,1954.3,1954
38,1944.1,1958,1952.3,1952
39,1941.1,1956.6,1950.3,1949.9
40,1938.2,1955.2,1948.4,1947.9
41,1935.7,1953.8,1946.3,1945.9
42,1933.1,1952.3,1944.4,1943.9
43,1930.6,1950.7,1942.3,1941.9
44,1928.3,1949.2,1940.3,1939.8
45,1925.4,1947.4,1938.2,1937.8
46,1923,1945.9,1936.2,1935.7
47,1920.6,1944.4,1934.1,1933.7
48,1918,1942.8,1932.1,1931.7
49,1915.9,1941.2,1930.1,1929.6
50,1913.6,1939.6,1928.1,1927.6
51,1911.2,1937.7,1926.1,1925.6
52,1908.8,1935.9,1924.1,1923.5
53,1906.1,1934.2,1922,1921.5
54,1903.9,1932.6,1920,1919.5
55,1901.7,1930.9,1917.9,1917.5
56,1899.2,1929.3,1915.9,1915.4
57,1896.3,1927.8,1913.8,1913.4
58,1894,1926.1,1911.8,1911.3
59,1891.6,1924.6,1909.6,1909.3
60,1889.5,1922.9,1907.6,1907.3
61,1887.1,1921.2,1905.6,1905.3
62,1885,1919.3,1903.5,1903.3
63,1882.8,1917.6,1901.5,1901.3
64,1880.6,1915.8,1899.5,1899.2
65,1878.2,1914.2,1897.5,1897.2
66,1875.7,1912.4,1895.5,1895.2
67,1873.8,1910.8,1893.4,1893.2
68,1871.4,1909,1891.4,1891.1
69,1868.8,1907.3,1889.3,1889
70,1866.4,1905.6,1887.4,1887
71,1863.8,1903.8,1885.3,1885
72,1861.9,1901.9,1883.4,1883
73,1859.2,1900.1,1881.4,1881
74,1857,1898.3,1879.3,1878.9
75,1854.4,1896.3,1877.3,1876.9
76,1852.2,1894.7,1875.3,1874.9
77,1850.2,1893.2,1873.2,1872.8
78,1847.9,1891.3,1871.2,1870.8
79,1845.7,1889.7,1869.4,1868.8
80,1843.1,1887.8,1867.2,1866.7
81,1841.1,1885.6,1865.2,1864.7
82,1838.7,1883.9,1863.3,1862.7
83,1836.8,1882,1861.2,1860.7
84,1834.3,1880.1,1859.2,1858.6
85,1831.8,1878.4,1857.3,1856.6
86,1829.9,1876.4,1855.3,1854.6
87,1827.3,1874.7,1853.3,1852.6
88,1825.1,1872.8,1851.2,1850.5
89,1822.3,1871,1849.1,1848.5
90,1820,1869.5,1847,1846.4
