sample;Phytol_ug.gTOC;Cholesterol_ug.gTOC;Cholestanol_ug.gTOC;Brassicasterol_ug.gTOC;Campasterol-co-eluter-M398_ug.gTOC;Campasterol_ug.gTOC;Campastanol_ug.gTOC;Stigmasterol▀TMS;unknown-M486-20.75min;Fungisterol-plus-co-eluter_ug.gTOC;Sitosterol_trace-Chondrillasterol_TMS;Sitostanol_ug.gTOC;b-Amyrin-plus-4a-24-dimetyl-5a-cholestan-3b-ol_ug.gTOC;Dehydrodinosterol_ug.gTOC;Dinosterol_ug.gTOC;a-Amyrin-plus-dihydrochondrillasterol-plusLupeol_ug.gTOC;4a-23-24-cholest-17-20-en-3b-ol_ug.gTOC;Triterpenoid-M371_ug.gTOC;Dinostanol_ug.gTOC;maybe-Dinostanol-isomer-M487_ug.gTOC;sterol-mz-75-255-388-500_ug.gTOC;sterol-mz-387_ug.gTOC;Tetrahymanol_ug.gTOC;Diplopterol_ug.gTOC
MUR23_D1;0.193898357;0.10442555;0.105528411;0.069146822;0.051347158;0.077136152;0.030713397;0.046499699;0.014119186;0.004026725;0.102566075;0.056092025;0.017389297;0.002141602;0.014568025;0.031623899;0.001564524;0.001064389;0.009015248;0.001256749;0.010515652;0.004026725;0.021146719;0.030187615
MUR23_D2;0.165576445;0.056386564;0.063629294;0.053397984;0.057148956;0.069743684;0.053260754;0.060991415;0.021011543;0.004421878;0.114419895;0.076041047;0.02778159;0.003400271;0.02273455;0.04533187;0.001524785;0.003628989;0.019227544;0.003003827;0.009941601;0.006083894;0.028604974;0.032706647
MUR23_D3;0.201467581;0.063028578;0.07448455;0.05263667;0.040337737;0.068348903;0.039909347;0.057279863;0.015822785;0.004422088;0.091108839;0.08314908;0.029890553;0.005900724;0.024943342;0.035805096;0.001036427;0.005610525;0.029102869;0.004753745;0.009618042;0.005596706;0.024100381;0.03164557
MUR23_D4;0.243439817;0.055030662;0.048078294;0.046402596;0.026704221;0.049450941;0.022818026;0.028201654;0.02342413;0.003351398;0.084551483;0.107030804;0.027096406;0.01413648;0.036918853;0.04194595;0.002281803;0.005900599;0.045529093;0.003173132;0.016703508;0.001533086;0.030055619;0.036241443
MUR23_D5;0.246430558;0.057240868;0.044706101;0.048711292;0.0245318;0.055738921;0.028648248;0.022492119;0.023845726;0.003467458;0.082996477;0.095290191;0.03432227;0.008993139;0.029649546;0.044854441;0.002781383;0.007379937;0.033914333;0.001687373;0.01770814;0.001038383;0.035712961;0.047858335
MUR23_D6;0.256796992;0.057635886;0.042966118;0.039358442;0.024014952;0.057049095;0.035403038;0.029926325;0.032338687;0.005563645;0.074239889;0.09853737;0.031056441;0.005520179;0.028383283;0.042335862;0.002586226;0.007606546;0.020494208;0.000847587;0.016125877;0.001369178;0.039510573;0.050333601
MUR23_D7;0.243618678;0.054252174;0.040745989;0.041515772;0.026609983;0.055529313;0.032908203;0.025927675;0.027047359;0.008152697;0.072761945;0.110708725;0.033398065;0.005301002;0.029374202;0.043160307;0.002869189;0.008660054;0.028149548;0.004251299;0.01210658;0.000472367;0.043212792;0.049266082
MUR23_D8;0.251436515;0.052585728;0.041797961;0.039295644;0.022780352;0.049379055;0.036719184;0.013215941;0.030546803;0.005875811;0.077367933;0.108100093;0.041204819;0.00583874;0.029138091;0.045949954;0.006765524;0.012585728;0.01918443;0.005801668;0.012900834;0.000389249;0.040778499;0.050361446
MUR23_D9;0.25903658;0.043169754;0.030585346;0.034051926;0.015978767;0.046221067;0.021702235;0.031253385;0.023200809;0.007113711;0.097930885;0.097678114;0.032246416;0.009659481;0.03544217;0.038619868;0.003719351;0.011103889;0.05192648;0.006102625;0.013595493;0.001895786;0.039522623;0.048243238
MUR23_D10;0.256611411;0.045046251;0.024856565;0.034892863;0.011971631;0.057646823;0.027532911;0.016091531;0.023167121;0.003930883;0.067259923;0.09700082;0.031831792;0.023083485;0.044728435;0.034976498;0.007109044;0.017044979;0.073632973;0.004081428;0.011692287;0.001672716;0.037184484;0.046953147
MUR23_D11;0.247649856;0.052062597;0.026128069;0.030856005;0.015842734;0.041860208;0.024856226;0.015842734;0.031353683;0.003428445;0.086568237;0.124308781;0.033897368;0.013603185;0.039703605;0.041611369;0.010561823;0.017667551;0.028478213;0.003373148;0.014930325;0.002792524;0.043214997;0.049408317
MUR23_D12;0.26475816;0.058251643;0.031266832;0.036275988;0.015431434;0.041850695;0.024587956;0.021679414;0.033394377;0.002666164;0.088091134;0.108343208;0.033502101;0.010933965;0.042173866;0.035737369;0.015781536;0.018070667;0.012899925;0.001346547;0.017370462;0.007917699;0.030674351;0.046994506
MUR23_D13;0.230381969;0.058657799;0.02831278;0.043785506;0.015934599;0.042492264;0.024109741;0.026234354;0.031684449;0.002955984;0.096623713;0.102766616;0.036995982;0.00637384;0.037319292;0.043462196;0.009930257;0.016350284;0.013301926;0.001154681;0.022354626;0.010161193;0.044339753;0.054316198
MUR23_D14;0.270999805;0.071233678;0.024312999;0.039222374;0.014665757;0.05076983;0.018563633;0.031426622;0.018076398;0.001997661;0.103439875;0.083122198;0.038053011;0.004872345;0.03308322;0.042730462;0.008867667;0.022071721;0.01739427;0.00438511;0.022412785;0.004336387;0.038053011;0.035909179
MUR23_D15;0.242876435;0.095813639;0.04442944;0.069615125;0.014179608;0.05658339;0.021336935;0.037812289;0.009250506;0.002228224;0.103376097;0.079810939;0.034638758;0.003916273;0.029101958;0.046792708;0.006414585;0.018230925;0.011748818;0.003106009;0.021134369;0.010938555;0.018906144;0.017758271
MUR23_D16;0.139822849;0.083333333;0.043383948;0.059652928;0.018438178;0.047812726;0.016720897;0.041666667;0.013620752;0.002621114;0.121655821;0.129880694;0.040401302;0.003796095;0.02467462;0.052331887;0.002919378;0.03027838;0.017986262;0.005242227;0.026663051;0.019161244;0.029736081;0.028199566
MUR23_D17;0.13254296;0.073550401;0.038059716;0.056328379;0.016936573;0.048811585;0.015319036;0.043197777;0.010447392;0.002854479;0.152238863;0.107328398;0.046718301;0.003139927;0.02407277;0.067651145;0;0.02816419;0.023501874;0.002854479;0.021598889;0.019505604;0.034919789;0.030257474
MUR23_D18;0.212835823;0.079845839;0.041391945;0.048391417;0.010283176;0.073451259;0.026442453;0.044243582;0;0.001382612;0.150877527;0.100844257;0.028257131;0.002678811;0.01996146;0.043293036;0.003888596;0.020333037;0.01356688;0.002160331;0.014690252;0.013221227;0.02341799;0.024541362
MUR23_D19;0.197905562;0.074935725;0.042453126;0.059321502;0.010472189;0.070169938;0.022323948;0.046215589;0;0.002006647;0.13500972;0.093559917;0.031730106;0.006521603;0.030601367;0.036307769;0.008904496;0.018310654;0.02420518;0.002633724;0.020380009;0.017620869;0.03135386;0.0170565
MUR23_D20;0.149781687;0.077833323;0.045624249;0.063215845;0.009555148;0.05562235;0.017465038;0.051699044;0.006138075;0.003163956;0.130671392;0.094602291;0.034297285;0.004113143;0.036385496;0.044232108;0.011706638;0.020882111;0.020565715;0.005948238;0.023349997;0.022843764;0.043472758;0.026830349
MUR23_D21;0.170255211;0.082754351;0.0418931;0.067070235;0.009011488;0.056270207;0.016578386;0.04519502;0.006397469;0.002407649;0.114604114;0.094792598;0.035014102;0.007704478;0.039554241;0.036389902;0.009080278;0.023388595;0.030267593;0.005434409;0.023801335;0.024970764;0.038522391;0.018642086
MUR23_D22;0.174525767;0.081549647;0.043869493;0.058356628;0.012446693;0.055976113;0.015983459;0.043937508;0;0.003264706;0.126167303;0.103654431;0.038496331;0.00489706;0.034959565;0.041829052;0.010134193;0.027457542;0.023533093;0.005033089;0.022240813;0.029518388;0.028226108;0.013943017
MUR23_D23;0.177580394;0.078189834;0.045124481;0.064574689;0.008363589;0.057118776;0.018283195;0.041753112;0.009206432;0.003371369;0.105420124;0.096667531;0.033778527;0.008817427;0.043309129;0.033130187;0.010762448;0.023016079;0.035075207;0.006613071;0.023016079;0.030471992;0.025414938;0.02094139
MUR23_D24;0.171805574;0.08112293;0.043220681;0.06510031;0.012925811;0.056685068;0.017974956;0.03796957;0.006664871;0.003096809;0.12151609;0.09889592;0.037363673;0.005251111;0.036690454;0.041672277;0.007203447;0.025784301;0.028881109;0.006193618;0.023764643;0.029756295;0.01844621;0.022014272
MUR23_D25;0.168814859;0.079978849;0.041443585;0.065238945;0.014541609;0.053473462;0.01897019;0.048053407;0;0.003106616;0.118844603;0.105228369;0.03642012;0.004692974;0.035626942;0.037874281;0.005287858;0.025315619;0.030140789;0.006543724;0.024258047;0.029942495;0.0297442;0.016458457
MUR23_D26;0.17893053;0.075411335;0.043418647;0.070155393;0.017595978;0.048446069;0.019119439;0.041285801;0;0.003580134;0.116925655;0.115326021;0.035191956;0.002894576;0.0226234;0.046389397;0;0.036639244;0.021328458;0.003199269;0.035877514;0.022775746;0.022242535;0.020642901
MUR23_D27;0.192981054;0.088336398;0.04420817;0.069070269;0.017587337;0.051323047;0.01702774;0.039491566;0;0.003037813;0.128227676;0.092573347;0.037253178;0.001998561;0.02062515;0.04716604;0;0.032616516;0.020145495;0.004316892;0.025661524;0.022863538;0.024622272;0.018866416
MUR23_D28;0.165351025;0.079862277;0.042156533;0.06944911;0.019566678;0.054837084;0.01771918;0.039805173;0;0.002771246;0.124958011;0.099512932;0.03812563;0.003023178;0.023849513;0.046439368;0;0.034262681;0.031743366;0.00562647;0.028888142;0.019902586;0.034178703;0.017971112
MUR23_D29;0.187785222;0.077483251;0.040683562;0.070006797;0.02310904;0.052140985;0.020293232;0.040198077;0;0.002718711;0.130983591;0.092727449;0.040683562;0.002330323;0.019225167;0.053888727;0;0.031265171;0.02068162;0.003786775;0.02796388;0.018448393;0.026119041;0.017477425
