sample;C16-alkanol_ug.gTOC;C18-alkanol_ug.gTOC;Phytol_ug.gTOC;C20-alkanol_ug.gTOC;C22-alkanol_ug.gTOC;C24-alkanol_ug.gTOC;C26-alkanol_ug.gTOC;C28-alkanol_ug.gTOC;Cholesterol_ug.gTOC;Cholestanol_ug.gTOC;Brassicasterol_ug.gTOC;Campasterol-co-eluter-M398_ug.gTOC;Campasterol_ug.gTOC;Campastanol_ug.gTOC;Stigmasterol▀TMS;C30-alkanol--plus-4a-desmethyl-dinosterol_ug.gTOC;unknown-M486-20.75min;Fungisterol-plus-co-eluter_ug.gTOC;Sitosterol_trace-Chondrillasterol_TMS;Sitostanol_ug.gTOC;b-Amyrin-plus-4a-24-dimetyl-5a-cholestan-3b-ol_ug.gTOC;Dehydrodinosterol_ug.gTOC;Dinosterol_ug.gTOC;a-Amyrin-plus-dihydrochondrillasterol-plusLupeol_ug.gTOC;4a-23-24-cholest-17-20-en-3b-ol_ug.gTOC;Triterpenoid-M371_ug.gTOC;Dinostanol_ug.gTOC;maybe-Dinostanol-isomer-M487_ug.gTOC;sterol-mz-75-255-388-500_ug.gTOC;C32-alkanol_ug.gTOC;sterol-mz-387_ug.gTOC;Tetrahymanol_ug.gTOC;Diplopterol_ug.gTOC
MUR23_D1;194.0077326;69.29401235;1171.952424;114.5598996;138.7430449;142.2309985;747.1971801;460.0223303;631.164589;637.8304559;417.9343563;310.350364;466.2231368;185.6366438;281.0515534;333.9909387;85.3385991;24.33816541;619.9256272;339.029094;105.1036697;12.94418351;88.05145193;191.1398596;9.456229873;6.433336717;54.48958689;7.595987931;63.55826636;26.97350816;24.33816541;127.8141234;182.4587305
MUR23_D2;136.4737492;63.29090484;950.5891226;91.74117326;125.0061025;120.1039024;618.9027624;374.6681503;323.720285;365.3014466;306.5625847;328.0972494;400.4047009;305.7747311;350.1571499;349.3692963;120.6291381;25.38639336;656.8948131;436.5584266;159.4965818;19.5212611;130.5210776;260.2543016;8.753928746;20.83435042;110.3870415;17.24523963;57.07561543;30.28859346;34.9281757;164.2237033;187.7717716
MUR23_D3;147.4370632;64.10983646;1134.292847;105.9679578;181.7482742;151.4050264;575.5102673;321.0938047;354.8603933;419.3592458;296.3523872;227.1075396;384.8146251;224.6956404;322.4942623;371.3546716;89.08466353;24.89702387;512.9564949;468.1418519;168.2883207;33.22196622;140.4347753;201.5880901;5.835239969;31.58809903;163.8535383;26.76430066;54.15102691;24.35240147;31.51029583;135.6887801;178.1693271
MUR23_D4;73.7668107;48.36262563;1077.389911;85.91663835;129.8611448;153.3718503;728.3584988;403.0744769;243.5488178;212.7797738;205.3636452;118.1846871;218.8546876;100.9855804;124.8118658;355.1063262;103.6680099;14.83225712;374.1989125;473.6854882;119.9203768;62.56372287;163.3915133;185.639899;10.09855804;26.11423994;201.4977909;14.04330728;73.92460067;32.89920862;6.784968685;133.0169442;160.3935039
MUR23_D5;60.54160962;50.25707797;911.2095038;96.53747038;125.7455402;129.4479716;631.2645524;347.8228602;211.6556613;165.3067053;180.1164309;90.70956911;206.1020142;105.9306759;83.16757924;276.9281554;88.17271797;12.82138278;306.8904243;352.3480542;126.9111205;33.25331899;109.6331073;165.8552137;10.28453165;27.28829063;125.4027225;6.239282531;65.47818481;32.22486582;3.839558481;132.0533863;176.9625078
MUR23_D6;71.95806639;51.78800233;1073.556203;106.1744904;138.373908;136.1933605;630.905067;341.8916715;240.950495;179.6225976;164.5404776;100.3960396;238.4973791;148.0046593;125.1089109;318.4507863;135.1939429;23.25917298;310.3645894;411.9417589;129.8334304;23.07746069;118.6581246;176.9877694;10.81188119;31.79965055;85.67734421;3.543389633;67.41525917;30.98194525;5.7239371;165.1764706;210.4228305
MUR23_D7;75.74945491;53.5264287;1109.16;122.9833421;140.5068753;161.3758103;704.7646446;331.6726921;247.0021658;185.5104947;189.0152014;121.1513364;252.8167927;149.8262089;118.0448919;287.465597;123.142647;37.11802943;331.27443;504.040537;152.0564768;24.13468437;133.7364193;196.5025292;13.06299748;39.42794971;128.1607497;19.35553895;55.11947718;33.13540824;2.150615439;196.7414865;224.301225
MUR23_D8;89.48309891;42.97450564;958.7979752;83.12174116;117.0489825;134.5073754;611.9626148;277.7086063;200.5241324;159.3873523;149.8453157;86.86787406;188.2961892;140.0205521;50.39608967;252.8993111;116.4835284;22.4061156;295.0256357;412.2159817;157.1255362;22.2647521;111.1117152;175.2200649;25.79883973;47.99291008;73.15561403;22.12338859;49.19449987;35.69428511;1.484316806;155.4998559;192.0423221
MUR23_D9;90.22249439;45.35248381;1153.67391;112.8183241;133.0821998;168.9460434;616.9224393;253.9417445;192.265583;136.2182758;151.6574193;71.16480172;205.8552457;96.65547081;139.1935274;262.0633772;103.3296839;31.6824089;436.1558017;435.0300309;143.6161987;43.02052985;157.8491591;172.0017072;16.5649143;49.45350628;231.2655025;27.1793254;60.55039062;40.20610267;8.44328156;176.0223175;214.8614127
MUR23_D10;85.07006159;40.77525656;1316.912023;85.75680275;125.158577;144.9882281;508.2743034;252.2056922;231.1742441;127.5621711;179.0677583;61.43758131;295.8395088;141.2969943;82.58062487;310.5786911;118.8920639;20.17302167;345.1732772;497.8015007;163.3585542;118.4628507;229.5432338;179.4969715;36.48312429;87.47365566;377.8793251;20.94560548;60.00400913;32.96357583;8.58426454;190.8282007;240.9603056
MUR23_D11;46.98923848;37.02182426;1062.834871;82.8244658;92.55456064;119.0156722;485.4368046;287.6310961;223.4362022;112.13341;132.4242175;67.99200416;179.6507754;106.6750641;67.99200416;315.7534434;134.560092;14.71380195;371.5234992;533.4939803;145.4767838;58.38056902;170.3953193;178.5828382;45.32800277;75.82354391;122.2194839;14.47648256;64.07623429;37.25914364;11.98462901;185.4651004;212.0448716
MUR23_D12;35.98833453;32.76111975;961.4166216;73.63917364;100.1414526;121.2650403;463.838779;289.9603583;211.5292597;113.5392837;131.7290397;56.03618392;151.9724779;89.28627561;78.72448178;297.0015542;121.2650403;9.681644343;319.8854409;393.4268201;121.6562178;39.70452124;153.1460105;129.7731519;57.30751096;65.62003388;46.84351152;4.889719365;63.07737981;38.62878298;28.75154987;111.3878071;170.6512058
