sample;phytol.sterol.ratio.w.4a_17.20_chol;phytol.sterol.ratio.wo.4a_17.20_chol
MUR23_D1;0.375381713;0.376522151
MUR23_D2;0.324013845;0.32498354
MUR23_D3;0.378822918;0.379562614
MUR23_D4;0.441884546;0.443722381
MUR23_D5;0.463469922;0.465907099
MUR23_D6;0.499260574;0.501783591
MUR23_D7;0.48236802;0.485124025
MUR23_D8;0.511442899;0.518579402
MUR23_D9;0.455055823;0.458048656
MUR23_D10;0.441629027;0.447099145
MUR23_D11;0.480757877;0.490821415
MUR23_D12;0.495389267;0.510462641
MUR23_D13;0.454901961;0.464
MUR23_D14;0.483862549;0.491646778
MUR23_D15;0.432591702;0.437591241
MUR23_D16;0.303971077;0.305912596
MUR23_D17;0.27394297;0.27394297
MUR23_D18;0.373464746;0.376030534
MUR23_D19;0.341891453;0.347232919
MUR23_D20;0.285973179;0.292511122
MUR23_D21;0.315286624;0.320678932
MUR23_D22;0.32775578;0.334114583
MUR23_D23;0.326187924;0.332766371
MUR23_D24;0.323488402;0.327936263
MUR23_D25;0.318414163;0.321621962
MUR23_D26;0.356016975;0.356016975
MUR23_D27;0.368380894;0.368380894
MUR23_D28;0.322311344;0.322311344
MUR23_D29;0.358812616;0.358812616
