sample;Brassicasterol_ug.gTOC;Campasterol-co-eluter-M398_ug.gTOC;Campasterol_ug.gTOC;Campastanol_ug.gTOC;Stigmasterol▀TMS;Sitosterol_trace-Chondrillasterol_TMS;Sitostanol_ug.gTOC;b-Amyrin-plus-4a-24-dimetyl-5a-cholestan-3b-ol_ug.gTOC;Dehydrodinosterol_ug.gTOC;Dinosterol_ug.gTOC;a-Amyrin-plus-dihydrochondrillasterol-plusLupeol_ug.gTOC;4a-23-24-cholest-17-20-en-3b-ol_ug.gTOC;Triterpenoid-M371_ug.gTOC;Dinostanol_ug.gTOC;maybe-Dinostanol-isomer-M487_ug.gTOC
MUR23_D1;0.135019407;0.100262927;0.150619757;0.059972455;0.090797546;0.200275448;0.109527983;0.033955177;0.004181795;0.028446225;0.061750344;0.003054964;0.002078377;0.017603606;0.002453988
MUR23_D2;0.087303368;0.093436043;0.114027871;0.087079002;0.099718296;0.187071523;0.124323785;0.045421684;0.005559295;0.037169995;0.074115623;0.002492957;0.005933239;0.031436193;0.004911126
MUR23_D3;0.092375224;0.070791095;0.119949556;0.070039288;0.10052384;0.159892322;0.145923267;0.05245671;0.010355532;0.043774555;0.062836494;0.001818887;0.009846243;0.051074356;0.00834263
MUR23_D4;0.085591214;0.049256872;0.091213994;0.042088649;0.05201894;0.155958174;0.19742207;0.049980271;0.026075233;0.068098119;0.077370775;0.004208865;0.010883862;0.083980008;0.005852953
MUR23_D5;0.093318177;0.046996554;0.106781287;0.054882597;0.043089055;0.15899968;0.182551242;0.065752549;0.017228518;0.056800824;0.085929452;0.005328408;0.014138041;0.064971049;0.003232567
MUR23_D6;0.079134804;0.048284903;0.114703955;0.071181997;0.060170417;0.14926808;0.19812104;0.062442648;0.011098973;0.057067948;0.085121258;0.005199913;0.015293861;0.04120603;0.001704173
MUR23_D7;0.079665626;0.051062544;0.106556552;0.063148353;0.049753248;0.139624668;0.212441669;0.064088361;0.010172223;0.056366871;0.082821365;0.005505758;0.016617988;0.054016853;0.008157921
MUR23_D8;0.076550877;0.044377844;0.096194121;0.07153174;0.025745649;0.150718567;0.210587131;0.080270095;0.011374305;0.056763198;0.089513974;0.01317975;0.024517946;0.037372716;0.011302087
MUR23_D9;0.063811071;0.029943159;0.086615239;0.040668561;0.058566788;0.183516037;0.18304236;0.060427663;0.018101232;0.066416294;0.072371092;0.00696982;0.020807958;0.097306807;0.011435918
MUR23_D10;0.063570427;0.021810812;0.105025294;0.050161516;0.029316755;0.12253916;0.17672335;0.057993539;0.04205522;0.081489608;0.063722801;0.012951789;0.031053818;0.134150058;0.007435851
MUR23_D11;0.058325494;0.029946692;0.079126163;0.046984426;0.029946692;0.163635413;0.234974391;0.064074422;0.02571339;0.07504965;0.078655796;0.019964461;0.033396049;0.053830877;0.006376084
MUR23_D12;0.071591815;0.030454425;0.082593675;0.048525113;0.042785012;0.173850651;0.213818762;0.066117459;0.021578528;0.083231464;0.070528833;0.031145363;0.035663035;0.025458411;0.002657454
MUR23_D13;0.084718499;0.030831099;0.082216265;0.046648794;0.050759607;0.186952636;0.198838248;0.071581769;0.01233244;0.072207328;0.08409294;0.019213584;0.031635389;0.025737265;0.002234138
MUR23_D14;0.076506368;0.028606729;0.099030603;0.036209846;0.061300133;0.201767725;0.162136476;0.074225432;0.009503897;0.064531458;0.083349173;0.017297092;0.043052652;0.033928911;0.008553507
MUR23_D15;0.129718168;0.026421741;0.10543533;0.03975843;0.070457977;0.192627076;0.148716658;0.06454454;0.007297433;0.054227479;0.087191746;0.011952693;0.03397081;0.0218923;0.00578762
MUR23_D16;0.097240434;0.030056134;0.077939681;0.027256788;0.06792097;0.198311552;0.211718946;0.065858294;0.006188028;0.04022218;0.085306381;0.004758888;0.049356887;0.029319464;0.008545372
