sample;depth_cm;C16.0_FA_d2H.VSMOW;SD_C16.0_FA_d2H.VSMOW;phytol_d2H.VSMOW;SD_phytol_d2H.VSMOW;epsilon_C16.0_phytol
D1_MUR23_LI_1-3;2;-232.2201436;3.667600597;-395.5683858;1.59304708;270.2509901
D2_MUR23_LI_4-6;5;-232.6064679;0.587940528;-396.4020823;0.808579233;271.3654399
D3_MUR23_LI_7-9;8;-236.2163889;1.246136794;-395.2546943;2.494240012;262.9839437
D4_MUR23_LI_10-12;11;-230.7254551;1.560255517;-393.5243729;2.499214357;268.4343945
D5_MUR23_LI_13-15;14;-236.6948496;0.396847116;-394.1177766;1.995085759;259.824304
D6_MUR23_LI_16-18;17;-226.3774235;0.405192589;-388.7410227;0.623582305;265.621619
D7_MUR23_LI_19-21;20;-218.3197313;1.870673795;-391.6627797;1.290538218;284.9456562
D8_MUR23_LI_22-24;23;-233.2383588;1.833501321;-396.9190509;0.361500399;271.4074992
D9_MUR23_LI_25-27;26;-223.7197338;0.449519836;-386.4999284;4.385047268;265.3303597
D10_MUR23_LI_28-30;29;-237.8511277;1.194155972;-396.6521575;0.79531683;263.1997972
D11_MUR23_LI_31-33;32;-236.4610248;0.658883441;-400.4950399;1.805982646;273.6157765
D12_MUR23_LI_34-36;35;-227.7378017;1.755997861;-394.4166876;0.484340781;275.2369203
D13_MUR23_LI_37-39;38;-219.8474306;1.066676029;-348.7666781;2.218080266;197.9616877
D14_MUR23_LI_40-42;41;-238.4695495;1.091768038;-384.3772209;2.878574246;237.0082399
D15_MUR23_LI_43-45;44;-234.9556679;0.567155413;-348.4026031;0.475426094;174.1058755
D16_MUR23_LI_46-48;47;#NV;#NV;-332.0456291;3.079924608;#NV
D17_MUR23_LI_49-51;50;-211.0985313;2.106469622;-276.0036808;0.79886474;89.64845231
D18_MUR23_LI_52-54;53;-210.9827838;0.49365618;-332.085089;0.820778751;181.3139715
D19_MUR23_LI_55-57;56;-214.1801724;0.515071719;-325.970115;1.15697493;165.8530951
D20_MUR23_LI_58-60;59;-220.3253214;0.77292342;-314.2864305;4.524556579;137.0267607
D21_MUR23_LI_61-63;62;-223.6126891;0.244194606;-341.6910352;1.975282518;179.3661523
D22_MUR23_LI_64-66;65;-222.6125473;1.655431431;-321.2545106;2.67650547;145.3298252
D23_MUR23_LI_67-69;68;-221.4420125;3.127914423;-348.4085137;0.987897733;194.8559856
D24_MUR23_LI_70-72;71;-222.8939034;1.644240486;-336.3000609;0.332558775;170.8696216
D25_MUR23_LI_73-75;74;-221.923628;2.897493576;-332.4604184;1.907294773;165.5883688
D26_MUR23_LI_76-78;77;-222.8934387;1.12789433;-324.6482724;0.836177827;150.6693913
D27_MUR23_LI_79-81;80;-217.468024;1.203444626;-317.253605;0.456811941;146.1532155
D28_MUR23_LI_82-84;83;-218.5539661;3.719045007;-296.9046229;1.781480476;111.4367401
D29_MUR23_LI_85-87;86;-218.6067653;0.231302828;-271.0196069;0.389441507;71.89883588
