depth,min.95,max.95,median,mean
0,2024.7,2024.7,2024.7,2024.7
1,2014.3,2022.8,2019.7,2019.4
2,2006,2019.7,2014.3,2014
3,2000.1,2016.1,2008.8,2008.6
4,1995.4,2011.4,2003.4,2003.4
5,1991.6,2006.1,1998.3,1998.3
6,1988.3,1999.7,1993.1,1993.3
7,1985.3,1992.2,1988.3,1988.5
8,1980.5,1987.2,1984.1,1984
9,1975.1,1984.2,1980.4,1980.2
10,1971,1981.3,1976.5,1976.4
11,1967.6,1978,1972.7,1972.7
12,1964.7,1973.5,1968.9,1968.9
13,1961.7,1968.2,1965,1965
14,1957,1963.9,1960.7,1960.7
15,1949.1,1961,1956.3,1956
16,1940.8,1958.4,1951.7,1951.2
17,1933.2,1955.7,1946.9,1946.3
18,1925.9,1952.7,1942,1941.2
19,1918.5,1949.7,1936.9,1936.2
20,1910.7,1946.4,1931.9,1931.1
21,1903.7,1942.6,1926.8,1926
22,1897.3,1939.2,1921.7,1920.9
23,1890.3,1935.5,1916.8,1915.8
24,1883.2,1931.9,1911.6,1910.7
25,1876.5,1928,1906.6,1905.6
26,1870.3,1923.9,1901.6,1900.5
27,1863.7,1920.1,1896.6,1895.4
28,1857.7,1916.5,1891.6,1890.4
29,1851.8,1912.1,1886.5,1885.3
30,1845.8,1907.5,1881.3,1880.2
31,1839.5,1903.5,1876.2,1875
32,1833.7,1899.3,1871.4,1870
33,1828,1895.1,1866.5,1865
34,1822.2,1891.3,1861.2,1859.8
35,1815.5,1887.2,1856.3,1854.7
36,1809.9,1883.5,1851,1849.6
37,1803.3,1879.3,1846,1844.5
38,1797.1,1874.7,1840.6,1839.5
39,1791.7,1871.2,1835.5,1834.4
40,1785.9,1867.1,1830.5,1829.4
41,1780.6,1862.5,1825.4,1824.3
42,1774.6,1858.4,1820.4,1819.2
43,1768.8,1854.3,1815.5,1814.2
44,1762.5,1850.5,1810.5,1809.1
45,1756.4,1845.9,1805.3,1804.1
46,1750.8,1841.9,1800.2,1799
47,1745,1837.5,1795,1794
48,1739.4,1833.3,1790.1,1789
49,1733.7,1829.2,1785.3,1784
50,1727.3,1824.8,1780.3,1779
