sample;Phytol-TMS;cholesterol-TMS;cholestanol-TMS;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;unknown-compound-M486;Fungisterol-TMS;Sitosterol-plus-chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;maybe-single-22-dihydrochondrillasterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;4a-23-24-cholest-17-20-en-3b-ol-TMS;alcohol-mz-174-227-395-410-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;sterol-mz-75-255-388-500-TMS;maybe-lanosterol-plus-co-eluter-TMS;Tetrahymanol-TMS;Diplopterol-TMS
ZUG24_N1;0.254042048;0.064598552;0.052538671;0.044067599;0.065457321;0.043336055;0.042360662;0.006811845;0.011285928;0.004574803;0.114963794;0.122104303;0.014243912;0.006944371;0.019513152;0.006159816;0.017981149;0.001060209;0.006631609;0.031318582;0.004935274;0.005550196;0.011821334;0.031981213;0.015717603
ZUG24_N2;0.348944299;0.058844427;0.030987332;0.035461492;0.062182452;0.033283062;0.031929084;0.006984382;0.012102018;0.00932033;0.098344393;0.082606073;0.014598834;0.004665192;0.017139218;0.010171593;0.015161874;0.00039882;0.010275488;0.041148871;0.005003687;0.009575039;0.012105369;0.032438501;0.016328172
ZUG24_N3;0.287990538;0.086852323;0.0249534;0.03013048;0.077123624;0.029972566;0.029811557;0.006598299;0.01640131;0.017772989;0.106300432;0.066010862;0.014150272;0.005012974;0.020342951;0.014215295;0.008310575;0.001706083;0.018627578;0.062298351;0.008347731;0.011577213;0.005570315;0.036437723;0.013484559
ZUG24_N4;0.313028591;0.048687824;0.023140026;0.027042069;0.047114908;0.042638144;0.030393592;0.01078053;0.015632373;0.030278648;0.120394681;0.066298443;0.01871771;0.008118671;0.031210299;0.028935619;0.012359496;0.004047236;0.015057653;0.0340355;0.009274159;0.018754008;0.008705489;0.022758896;0.012595434
ZUG24_N5;0.293261529;0.056392691;0.023507808;0.032793717;0.052205566;0.051632523;0.023195239;0.010894339;0.012131592;0.012952086;0.064232968;0.09353633;0.024692966;0.01212508;0.048233333;0.01496425;0.018851829;0.005567639;0.021918914;0.055396377;0.014977274;0.016318716;0.014781918;0.016461977;0.00897334
ZUG24_N6;0.231786563;0.058783958;0.028168208;0.036570005;0.055892709;0.070463459;0.003377895;0.008587868;0.005567801;0.001946583;0.073941545;0.097271921;0.027037472;0.027753127;0.065110354;0.00432256;0.018635674;0.015057396;0.015186214;0.060973864;0.006197578;0.009918988;0.041737039;0.025276959;0.01043426
ZUG24_N7;0.142839204;0.059835499;0.03798581;0.053117348;0.080115527;0.081036395;0.042590151;0.007659949;0.000858082;0.000858082;0.156610368;0.088173123;0.018584793;0.025470375;0.048052573;0.002804462;0.017831356;0.001737092;0.009083108;0.051861619;0.005567066;0.006132145;0.043029656;0.012389862;0.005776355
ZUG24_N8;0.10591627;0.059998329;0.045458344;0.035932147;0.08297819;0.099481909;0.051976268;0.008690566;0;0;0.14539985;0.103033342;0.020640094;0.023815493;0.049260466;0;0.019762681;0.005097351;0.005097351;0.065053898;0.006016546;0.006309016;0.035096515;0.01788251;0.007102866
ZUG24_N9;0.124724623;0.064904254;0.040275659;0.035361238;0.079195617;0.105462351;0.054679998;0.008190702;0;0;0.14246173;0.102976897;0.0209569;0.021295826;0.045585494;0;0.02073095;0;0.005253347;0.05744789;0.005027396;0.006835;0.036434503;0.015929503;0.006270124
ZUG24_N10;0.1497835;0.055321331;0.03213309;0.030765725;0.084833637;0.108819508;0.048484503;0.005640383;0;0;0.129500912;0.088195077;0.022048769;0.022960346;0.050364631;0;0.019598906;0;0.005868277;0.068938013;0.005925251;0.005127621;0.03691887;0.01965588;0.00911577
