depth,min.95,max.95,median,mean
0,2024.7,2024.7,2024.7,2024.7
1,2019.2,2023.8,2022.2,2022.1
2,2014.4,2022.5,2019.5,2019.3
3,2010.6,2020.9,2016.7,2016.4
4,2006.9,2018.9,2013.8,2013.6
5,2003.7,2016.7,2010.9,2010.7
6,2000.7,2014.4,2007.9,2007.8
7,1998,2011.8,2005,2004.9
8,1995.3,2009,2002,2002
9,1993,2005.9,1999.1,1999.2
10,1990.7,2002.7,1996.1,1996.2
11,1988.6,1998.9,1993.1,1993.3
12,1986.7,1994.9,1990.3,1990.4
13,1984.7,1990.7,1987.5,1987.5
14,1981.8,1987.8,1984.8,1984.7
15,1977.9,1985.6,1982.2,1982.1
16,1974.9,1983.8,1979.6,1979.5
17,1971.9,1981.8,1977,1976.9
18,1969.4,1979.6,1974.3,1974.4
19,1967.3,1977,1971.8,1971.9
20,1965.3,1974.3,1969.3,1969.4
21,1963.6,1970.8,1966.8,1966.9
22,1961.8,1967.6,1964.4,1964.5
23,1959.3,1965.3,1962.2,1962.2
24,1955.9,1963.7,1960.1,1960.1
25,1952.8,1962.3,1958.1,1957.9
26,1949.5,1960.9,1956.2,1955.9
27,1946.7,1959.6,1954.2,1953.8
28,1943.6,1958.2,1952.1,1951.8
29,1940.8,1956.8,1950,1949.8
30,1937.9,1955.2,1948,1947.7
31,1935.5,1953.8,1946,1945.7
32,1932.9,1952.3,1944.1,1943.7
33,1930.4,1950.8,1942,1941.7
34,1928,1949.2,1940,1939.7
35,1925.4,1947.6,1938,1937.6
36,1922.9,1946,1935.9,1935.6
37,1920.3,1944.5,1933.8,1933.6
38,1918.1,1942.8,1931.9,1931.5
39,1915.7,1941.3,1929.9,1929.6
40,1913.5,1939.7,1927.9,1927.5
41,1911,1938.1,1925.8,1925.5
42,1908.6,1936.6,1923.9,1923.5
43,1906,1935,1921.8,1921.5
44,1903.2,1933.3,1919.8,1919.4
45,1900.4,1931.9,1917.8,1917.4
