labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
MUR23_D1_01,	1,	0.274389984,	192,	15.072,	1,	33.5,	1.30985,	2023.3
MUR23_D1_03,	3,	0.246701045,	122.2,	14.37072,	1,	37.2,	1.42848,	3
MUR23_D1_05,	5,	0.296193485,	144,	13.5504,	1,	40.2,	1.41102,	1
MUR23_D1_07,	7,	0.275875031,	139,	11.0644,	1,	34.4,	1.06984,	
MUR23_D1_09,	9,	0.229250033,	108,	17.7768,	1,	37,	1.7168,	
MUR23_D1_11,	11,	0.280138553,	107,	14.4129,	1,	49,	1.6807,	
MUR23_D1_13,	13,	0.236901104,	122,	11.9316,	1,	35.8,	1.15992,	
MUR23_D1_15,	15,	0.284730565,	101,	14.0087,	1,	45.5,	1.58795,	
MUR23_D1_17,	17,	0.244736951,	86.1,	14.13762,	1,	33.4,	1.37608,	
MUR23_D1_18,	18,	0.282568008,	75.1,	14.07374,	1,	29.9,	1.39035,	
MUR23_D1_19,	19,	0.299916367,	102,	15.2286,	1,	38.1,	1.56972,	
MUR23_D1_20,	20,	0.312446878,	72.3,	14.28648,	1,	40.2,	1.51956,	
MUR23_D1_21,	21,	0.303221794,	84.7,	14.50911,	1,	39.9,	1.53615,	
MUR23_D1_25,	25,	0.2917315,	75.1,	12.33893,	1,	31.7,	1.24898,	
MUR23_D1_31,	31,	0.295823934,	61,	13.054,	1,	32.2,	1.32664,	
MUR23_D1_32,	32,	0.282260049,	65.5,	11.07605,	1,	34.3,	1.18335,	
MUR23_D1_34,	34,	0.299047238,	92.4,	13.17624,	1,	33.2,	1.34128,	
MUR23_D1_40,	40,	0.309093547,	46.2,	11.1342,	1,	40,	1.328,	
MUR23_D1_45,	45,	0.287947026,	34.8,	9.32292,	1,	43.8,	1.86588,	
MUR23_D1_48,	48,	0.330520652,	28.8,	9.20736,	1,	29.7,	1.03356,	
