labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
ZUG24_SC_N02_Pb-Cs_0-1,	1,	0.3075,	448,	67.2448,	1,	17.4,	1.64604,	2024.75
ZUG24_SC_N02_Pb-Cs_1-2,	2,	0.3425,	362,	54.8068,	1,	12.2,	1.3176,	3
ZUG24_SC_N02_Pb-Cs_2-3,	3,	0.33,	256,	40.576,	1,	17.8,	1.58064,	1
ZUG24_SC_N02_Pb-Cs_3-4,	4,	0.33,	246,	39.9258,	1,	20,	1.672,	
ZUG24_SC_N02_Pb-Cs_4-5,	5,	0.285,	219,	36.6606,	1,	19.5,	1.69845,	
ZUG24_SC_N02_Pb-Cs_5-6,	6,	0.2875,	197,	32.1701,	1,	17.4,	1.63734,	
ZUG24_SC_N02_Pb-Cs_6-7,	7,	0.35,	171,	27.702,	1,	20.6,	1.6583,	
ZUG24_SC_N02_Pb-Cs_7-8,	8,	0.3575,	140,	22.61,	1,	15.3,	1.35711,	
ZUG24_SC_N02_Pb-Cs_8-9,	9,	0.3475,	94.7,	19.16728,	1,	13.6,	1.27432,	
ZUG24_SC_N02_Pb-Cs_9-10,	10,	0.36,	111,	49.0398,	1,	17.2,	1.46544,	
ZUG24_SC_N02_Pb-Cs_10-11,	11,	0.3975,	99.4,	19.66132,	1,	16.5,	1.4124,	
ZUG24_SC_N02_Pb-Cs_11-12,	12,	0.39,	92.2,	16.38394,	1,	17.9,	1.34429,	
ZUG24_SC_N02_Pb-Cs_12-13,	13,	0.3925,	96.1,	17.27878,	1,	17.9,	1.51613,	
ZUG24_SC_N02_Pb-Cs_13-14,	14,	0.3875,	78.8,	15.9964,	1,	14.9,	1.22031,	
ZUG24_SC_N02_Pb-Cs_14-15,	15,	0.4,	60.9,	16.38819,	1,	21.3,	1.5975,	
ZUG24_SC_N02_Pb-Cs_15-16,	16,	0.43,	56.7,	15.27498,	1,	19.3,	1.44364,	
ZUG24_SC_N02_Pb-Cs_16-17,	17,	0.4625,	91.9,	53.71555,	1,	21.6,	1.52496,	
ZUG24_SC_N02_Pb-Cs_17-18,	18,	0.4425,	75.5,	43.31435,	1,	23.4,	1.54908,	
ZUG24_SC_N02_Pb-Cs_18-19,	19,	0.4275,	48.9,	19.76049,	1,	16.7,	1.37942,	
ZUG24_SC_N02_Pb-Cs_19-20,	20,	0.535,	46.3,	11.00551,	1,	22.8,	1.45692,	
ZUG24_SC_N02_Pb-Cs_20-21,	21,	0.55,	47.6,	11.53824,	1,	26.3,	1.71213,	
ZUG24_SC_N02_Pb-Cs_21-22,	22,	0.6025,	51.7,	9.59552,	1,	24.1,	1.51589,	
ZUG24_SC_N02_Pb-Cs_22-23,	23,	0.6325,	49.4,	10.34436,	1,	25.7,	1.63452,	
ZUG24_SC_N02_Pb-Cs_23-24,	24,	0.67,	40.4,	9.88184,	1,	21.2,	1.40344,	
ZUG24_SC_N02_Pb-Cs_24-25,	25,	0.66,	46.6,	10.10288,	1,	29.2,	1.74908,	
ZUG24_SC_N02_Pb-Cs_26-27,	27,	0.6575,	53.7,	16.29258,	1,	26.6,	1.67846,	
ZUG24_SC_N02_Pb-Cs_28-29,	29,	0.635,	43.4,	10.94548,	1,	24.7,	1.60303,	
ZUG24_SC_N02_Pb-Cs_31-32,	32,	0.6075,	46.5,	9.1977,	1,	25,	1.5575,	
ZUG24_SC_N02_Pb-Cs_33-34,	34,	0.6325,	59,	9.8943,	1,	28.3,	1.71498,	
ZUG24_SC_N02_Pb-Cs_35-36,	36,	0.62,	14,	7.8918,	1,	33.1,	1.96945,	
ZUG24_SC_N02_Pb-Cs_37-38,	38,	0.6575,	43.6,	9.31296,	1,	24.4,	1.5006,	
ZUG24_SC_N02_Pb-Cs_39-40,	40,	0.71,	45.1,	8.17663,	1,	28.4,	1.69264,	
ZUG24_SC_N02_Pb-Cs_41-42,	42,	0.63,	39.6,	6.72804,	1,	25.2,	1.55232,	
ZUG24_SC_N02_Pb-Cs_48-49,	49,	0.655,	37.1,	8.41799,	1,	23.1,	1.44375,	
