labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
ZUG24_SC_S03_Pb-Cs_0-1,	1,	0.13,	670,	33.768,	1,	28.9,	2.29755,	2024.75
ZUG24_SC_S03_Pb-Cs_1-2,	2,	0.14,	513,	26.8299,	1,	30.7,	2.21347,	3
ZUG24_SC_S03_Pb-Cs_2-3,	3,	0.155,	444,	23.2656,	1,	32.1,	2.16996,	1
ZUG24_SC_S03_Pb-Cs_3-4,	4,	0.245,	188,	11.0544,	1,	31,	1.5934,	
ZUG24_SC_S03_Pb-Cs_4-5,	5,	0.5025,	71,	4.6079,	1,	32.2,	1.13344,	
ZUG24_SC_S03_Pb-Cs_6-7,	7,	0.27,	181,	10.0274,	1,	27.5,	1.419,	
ZUG24_SC_S03_Pb-Cs_7-8,	8,	0.1775,	249,	15.0147,	1,	31.4,	2.01274,	
ZUG24_SC_S03_Pb-Cs_8-9,	9,	0.32,	120,	7.92,	1,	35.3,	1.53908,	
ZUG24_SC_S03_Pb-Cs_10-11,	11,	0.19,	202,	12.9886,	1,	24.3,	1.78848,	
ZUG24_SC_S03_Pb-Cs_11-12,	12,	0.465,	69.8,	4.82318,	1,	31.2,	1.18248,	
ZUG24_SC_S03_Pb-Cs_14-15,	15,	0.2275,	124,	9.3744,	1,	24.5,	1.6023,	
ZUG24_SC_S03_Pb-Cs_15-16,	16,	0.1975,	113,	9.1869,	1,	21,	1.5624,	
ZUG24_SC_S03_Pb-Cs_16-17,	17,	0.2575,	86.6,	6.87604,	1,	26,	1.3572,	
ZUG24_SC_S03_Pb-Cs_17-18,	18,	0.5575,	45.3,	3.3069,	1,	25.7,	0.88665,	
ZUG24_SC_S03_Pb-Cs_20-21,	21,	0.33,	73.3,	6.11322,	1,	22.9,	1.23889,	
ZUG24_SC_S03_Pb-Cs_21-22,	21.9,	0.3275,	75.5,	6.1457,	0.9,	24.6,	1.25952,	
ZUG24_SC_S03_Pb-Cs_22-23,	23,	0.3025,	98.8,	7.13336,	1,	31.8,	1.47234,	
ZUG24_SC_S03_Pb-Cs_23-24,	24,	0.3375,	58,	5.1214,	1,	27.6,	1.29444,	
ZUG24_SC_S03_Pb-Cs_24-25,	25,	0.295,	87.9,	7.25175,	1,	25.1,	1.43321,	
ZUG24_SC_S03_Pb-Cs_25-26,	26,	0.27,	86.5,	7.37845,	1,	21.9,	1.43883,	
ZUG24_SC_S03_Pb-Cs_26-27,	27,	0.3125,	67.4,	6.01882,	1,	20.6,	1.19686,	
ZUG24_SC_S03_Pb-Cs_27-28,	28,	0.4525,	50.3,	3.70208,	1,	31.7,	1.06829,	
ZUG24_SC_S03_Pb-Cs_28-29,	29,	0.425,	61.5,	4.23735,	1,	36.2,	1.19098,	
ZUG24_SC_S03_Pb-Cs_35-36,	36,	0.4175,	54.7,	4.38147,	1,	26.9,	1.28851,	
ZUG24_SC_S03_Pb-Cs_36-37,	37,	0.555,	50.3,	4.23023,	1,	23.9,	1.19022,	
