"GRE24SC-02DNA10-12"	"GRE24SC-02DNA12-14"	"GRE24SC-02DNA16-18"	"GRE24SC-02DNA18-20"	"GRE24SC-02DNA2-4"	"GRE24SC-02DNA20-22"	"GRE24SC-02DNA22-24"	"GRE24SC-02DNA28-30"	"GRE24SC-02DNA30-32"	"GRE24SC-02DNA34-36"	"GRE24SC-02DNA38-40"	"GRE24SC-02DNA4-6"	"GRE24SC-02DNA50-52"	"GRE24SC-02DNA6-8"	"GRE24SC-02DNA60-62"	"GRE24SC-02DNA8-10"	"MUR23DNAD1110-12"	"MUR23DNAD1113-15"	"MUR23DNAD1122-24"	"MUR23DNAD1128-30"	"MUR23DNAD1131-33"	"MUR23DNAD1134-36"	"MUR23DNAD1137-39"	"MUR23DNAD1143-45"	"MUR23DNAD1146-48"	"MUR23DNAD1152-54"	"MUR23DNAD1164-66"	"MUR23DNAD1170-72"	"MUR23DNAD1176-78"	"NEU24CDNA10-12"	"NEU24CDNA13-15"	"NEU24CDNA16-18"	"NEU24CDNA19-21"	"NEU24CDNA22-24"	"NEU24CDNA25-27"	"NEU24CDNA28-30"	"NEU24CDNA31-33"	"NEU24CDNA34-36"	"NEU24CDNA37-39"	"NEU24CDNA4-6"	"NEU24CDNA40-42"	"NEU24CDNA52-54"	"NEU24CDNA7-9"	"ZUG24N02DNA1-3"	"ZUG24N02DNA10-12"	"ZUG24N02DNA13-15"	"ZUG24N02DNA16-18"	"ZUG24N02DNA19-21"	"ZUG24N02DNA22-24"	"ZUG24N02DNA25-27"	"ZUG24N02DNA31-33"	"ZUG24N02DNA34-36"	"ZUG24N02DNA37-39"	"ZUG24N02DNA4-6"	"ZUG24N02DNA40-42"	"ZUG24N02DNA47-49"	"ZUG24N02DNA7-9"	"ZUG24S03DNA1-3"	"ZUG24S03DNA10-12"	"ZUG24S03DNA13-15"	"ZUG24S03DNA16-18"	"ZUG24S03DNA19-21"	"ZUG24S03DNA22-24"	"ZUG24S03DNA25-27"	"ZUG24S03DNA28-30"	"ZUG24S03DNA31-33"	"ZUG24S03DNA34-36"	"ZUG24S03DNA37-39"	"ZUG24S03DNA4-6"	"ZUG24S03DNA40-42"	"ZUG24S03DNA7-9"
"ASV2"	24.2958851151682	40.1364551313059	0.768805565719166	31.0418097600092	24.1966294738251	18.2375221112623	0	0	0	0	0	14.9043277256967	0	12.8932755479676	0	31.5504487884486	6.98335320163488	11.8359739049394	0.344269311647468	5.58140141001082	0	9.56269311938451	3.34346504559271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5860066949613	7.76424092486269	34.2220075180024	7.81892287326691	0	0	0	0	0	0	32.3418375189099	0	0	25.7184726858259	57.1038966325326	56.1166331085472	13.1850468564802	6.89494999904029	49.6774265015398	42.7707322152463	44.2769794480631	0	0	0	0	49.06758117077	0	25.3017499720084
"ASV5"	1.82442415900903	12.799787788475	46.3696990707792	1.60580335845009	3.23253335255621	0.187085493482594	5.25519305677118	36.7333407006299	15.6932252982219	5.54178607389048	2.94191443984444	5.46505247673862	13.1058617672791	21.5836422964632	13.9098805305572	9.54917160393089	0.351775374659401	3.76303434208444	3.64181104267079	0.390945697642597	0.917356960079295	0.845050355740376	4.32193862680601	11.536700112411	18.019936646563	8.85650754600937	8.45522027495937	11.5514928257953	11.673446361234	0.610479905036459	0.395424375088264	0	1.23526108927569	7.33723734068205	17.8571428571429	0	22.2910216718266	16.2303664921466	0	3.8560411311054	15.8241758241758	27.027027027027	3.18419991938734	2.9116622274235	22.20355070096	2.61544964598964	21.9588239392462	13.8439573632721	9.19294897549216	0.608488847942065	0	3.81577938507936	5.76497675048531	0.3869624659891	4.15596889488169	0.205707894789399	6.53990308797766	1.24760858061627	6.4108437114925	17.754299796202	25.4258239121672	3.01570773423134	7.97530332467987	10.633687403205	42.1658195368297	5.52426635048102	27.5146529165822	38.7133806709469	1.48402177065739	28.819292354115	0.147861767359762
"ASV9"	20.8992834878355	13.0623215316679	22.8007960508334	13.2930472707095	0.601916452554669	41.9112286979971	3.77711781173374	2.65775223781633	2.22822417285618	0.437611339168151	0.200727637686614	2.46027761887528	0	7.68181680422682	0	2.89495157342037	0.351243188010899	1.11660131178674	26.6892457710702	14.4037426534788	10.5602249395677	3.24841274788292	17.8769205146355	0	0.178964511337402	0	0.16251592216805	0.202378516042477	0	0	0	5.3060696259868	1.20157215047726	0.964519462624871	0	11.5819209039548	0	13.0890052356021	0	1.13110539845758	0	0	0	4.70243138804558	0.426333068820115	0.874081007231171	1.02940151884623	1.11783506659961	0.974286862193652	0	1.1060630987484	0	4.83048169382872	1.23881921167521	0	0.417407281660043	19.0992669784496	1.59825317353709	2.00496447100685	19.200497983338	0.404230407493426	0.37441566785564	0.175120158460079	0.195441417481543	0	0	1.23596265075365	0	2.50430806503899	2.75587677033144	3.58372137442288
"ASV18"	3.85251791280411	0	0.300483865474744	15.3177264314691	18.7042062065876	8.93320487135961	19.8381784046342	0.353630235385125	0	0	0	15.784816185484	0	8.663427184041	0	4.17302302479867	0.436925238419619	0.464224797341258	0	1.14156143711638	0.747438581586107	27.9463228288261	13.1781654661282	1.25317457013198	1.81112085473451	0.461276434687988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4129984907187	0.427227849821108	0.327457674353794	0	0	0	0	0	0	4.33047403576234	0	0	3.69254706143088	0.055097139600742	1.33753076160951	10.5702079762605	5.21468742202345	2.56884595786162	3.06294623101189	3.68247692213575	0	0	0.372719986867897	0	4.0647659995564	0	6.93310325295888
"ASV20"	11.5001214427397	2.24499508480659	0	0	16.6029050578489	0	0	0	0	0	0	31.4799724482529	0	17.4881550102539	0	7.99570724092667	0.0580083446866485	0.339376461692662	0.582466457003554	1.4999283266221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256733417355179	0	0	0	0	0	0	0	0	2.77911858849036	0	0	15.6012073296124	0.80159796242346	2.53425946640815	4.57309014010045	0.0142037275187624	0	0	0	0	0	0	0	2.96497244544539	0	10.427251351832
"ASV23"	0	0	0	0	0.848552877510774	0.261511875086024	0	0	0	0	0	0.054636515404462	0	0	0	0	4.39426515667575	0	0	0	0	0.134460067140987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.5707435510652	0	1.58436617804683	0	0	0	0	0	0	0	9.36557031795641	0	0	0	9.66031668498392	0	0	0	0.359571969780889	0.681312075954819	0.662311360394618	0	0	0	0	6.77074269335108	0	18.1144825496769
"ASV25"	0	0	0.330436194988792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22741210488519	0	0.46345918690841	0	0	0	0	0	0	0	16.5374544611244	0	0	0.109154175750284	7.73409742453582	0.00301845519014492	0	0	0	0	0	0	0	0	0	7.19591885482247	0	15.2664475634093
"ASV30"	1.3361231429381	1.68637945293117	0.0303016278174183	0.201994227769639	0.972128539284188	13.3508694122865	49.9901450514796	0	0	0	0	0.0224149806787536	0	0.109441980596779	0	3.68609642743109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157757280234296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027286758247849	0.222653025969788	1.4639874160888	0.50193223796463	0	0	0	0	0	0	0	0
"ASV32"	0.0920940776423916	0	2.50831111650583	4.70609332336332	0.194116768702404	0.0968562500318606	0	0	0	0	0	0.440594463966751	0	0	0	0	0	0.418505688512195	2.79323371233973	10.6649986316901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568425772181334	8.35628374488478	10.9984752645642	0	0	0	0	0	0	0	5.14875807969539	0	0	4.53080288625351	1.96605202100379	8.10774819691691	7.59424590485448	12.8655060557784	3.78004741121475	0	0	0	0	0	0	1.85460067222876	0	5.17443736786295
"ASV34"	1.15851313605635	6.18456161155929	4.61501650871106	0.229062130988351	0	0	0	0	0	0	0	0.243996404263516	0	0.851290236765097	0	0.360095079291872	0	0	0.105141708692335	2.15150448935976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117788762952014	7.69344474007686	2.76716837004272	0	0	0	0	0	0	0	3.13385665400162	0	0	4.75272960822094	0.561438398781176	10.5093731911463	5.82956008629437	12.3000441467207	0	0	0	0	0	0	0	1.14449506065414	0	4.63943463456079
"ASV39"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715679895901106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21120285124799	0.522802595341455	1.50360048912305	0	0	0	0	0	0	0	13.6686738378317	0	0	0.30786302055536	5.13842611168292	1.22158657107042	0.242596335047283	0.681395036373059	0.0427587123645789	0	0	0	0	0	0	10.6321338997799	0	4.02539665812647
"ASV51"	0.0635044326600008	0.137313339678874	0.152468709421361	0	0	0	0	0	0	0	0	0.0478653233244218	0	0.371429244917683	0	0.225281157980629	0	0	0.819733144760593	0.607268983671501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102210249142232	8.08788062674073	12.1820322760828	0.0104507768410785	0	0	0	0	0	0	0.0353254934108517	0	0	2.88142901510971	0	0.348897908743222	4.57735369607668	5.55672853605635	17.6509293927377	11.5056310596899	1.25314332263289	0	0	0	0	0.136493149750047	0	0.0415593653469976
