"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU1"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	NA
"OTU2"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU3"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA
"OTU4"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU5"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU6"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU7"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU8"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Dechloromonas"	NA
"OTU9"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU10"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Dechloromonas"	"aromatica"
"OTU11"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU12"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU13"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	"Schlesneria"	NA
"OTU14"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rubrivivax"	NA
"OTU15"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Dechloromonas"	NA
"OTU16"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	NA	NA
"OTU17"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"	NA
"OTU18"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU19"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU20"	"Bacteria"	"Bacillota"	NA	NA	NA	NA	NA
"OTU21"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU22"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU23"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU24"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA
"OTU25"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU26"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU27"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU28"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU29"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU30"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"paradoxus"
"OTU31"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU32"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU33"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU34"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU35"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU36"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU37"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU38"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"dehalogenans"
"OTU39"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU40"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU41"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU42"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU43"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU44"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU45"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"SH-PL14"	NA
"OTU46"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	NA	NA
"OTU47"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU48"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Verrucomicrobiales"	NA	NA	NA
"OTU49"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	NA	NA
"OTU50"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU51"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU52"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Dechloromonas"	NA
"OTU53"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU54"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU55"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rubrivivax"	NA
"OTU56"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	NA
"OTU57"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	NA	NA
"OTU58"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Herminiimonas"	"arsenicoxydans"
"OTU59"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylobacillus"	NA
"OTU60"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU61"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU62"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU63"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU64"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU65"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU66"	"Bacteria"	"Bacillota"	NA	NA	NA	NA	NA
"OTU67"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU68"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU69"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU70"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU71"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU72"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU73"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	NA
"OTU74"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU75"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA	NA
"OTU76"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU77"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU78"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	NA	NA	NA	NA
"OTU79"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU80"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	NA	NA
"OTU81"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU82"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU83"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU84"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU85"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU86"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
