"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU1"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. WDL1"	"NCBI"
"OTU2"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"
"OTU3"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"Rhodoferax aquaticus"	"NCBI"
"OTU4"	NA	"Chlorophyta"	"Trebouxiophyceae"	NA	NA	"Choricystis"	"Choricystis parasitica"	"NCBI"
"OTU5"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	NA	"Burkholderiales bacterium GJ-E10"	"NCBI"
"OTU6"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU7"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU8"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas sp. ZY10"	"NCBI"
"OTU9"	NA	NA	"Eustigmatophyceae"	"Eustigmatales"	"Monodopsidaceae"	"Microchloropsis"	"Microchloropsis salina"	"NCBI"
"OTU10"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas sp. HYN0024"	"NCBI"
"OTU11"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Methylibium"	"Methylibium sp."	"NCBI"
"OTU12"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Rubrivivax"	"Rubrivivax gelatinosus"	"NCBI"
"OTU13"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia benthica"	"NCBI"
"OTU14"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Rubrivivax"	"Rubrivivax gelatinosus"	"NCBI"
