"GRE24SC-02DNA10-12"	"GRE24SC-02DNA12-14"	"GRE24SC-02DNA14-16"	"GRE24SC-02DNA16-18"	"GRE24SC-02DNA18-20"	"GRE24SC-02DNA2-4"	"GRE24SC-02DNA20-22"	"GRE24SC-02DNA22-24"	"GRE24SC-02DNA28-30"	"GRE24SC-02DNA30-32"	"GRE24SC-02DNA34-36"	"GRE24SC-02DNA38-40"	"GRE24SC-02DNA4-6"	"GRE24SC-02DNA50-52"	"GRE24SC-02DNA6-8"	"GRE24SC-02DNA60-62"	"GRE24SC-02DNA8-10"	"MUR23DNAD1110-12"	"MUR23DNAD1113-15"	"MUR23DNAD1122-24"	"MUR23DNAD1128-30"	"MUR23DNAD1131-33"	"MUR23DNAD1134-36"	"MUR23DNAD1137-39"	"MUR23DNAD1143-45"	"MUR23DNAD1146-48"	"MUR23DNAD1152-54"	"MUR23DNAD1164-66"	"MUR23DNAD1170-72"	"MUR23DNAD1176-78"	"NEU24CDNA10-12"	"NEU24CDNA13-15"	"NEU24CDNA16-18"	"NEU24CDNA19-21"	"NEU24CDNA22-24"	"NEU24CDNA25-27"	"NEU24CDNA28-30"	"NEU24CDNA31-33"	"NEU24CDNA34-36"	"NEU24CDNA37-39"	"NEU24CDNA4-6"	"NEU24CDNA40-42"	"NEU24CDNA52-54"	"NEU24CDNA7-9"	"ZUG24N02DNA1-3"	"ZUG24N02DNA10-12"	"ZUG24N02DNA13-15"	"ZUG24N02DNA16-18"	"ZUG24N02DNA19-21"	"ZUG24N02DNA22-24"	"ZUG24N02DNA25-27"	"ZUG24N02DNA31-33"	"ZUG24N02DNA34-36"	"ZUG24N02DNA37-39"	"ZUG24N02DNA4-6"	"ZUG24N02DNA40-42"	"ZUG24N02DNA47-49"	"ZUG24N02DNA7-9"	"ZUG24S03DNA1-3"	"ZUG24S03DNA10-12"	"ZUG24S03DNA13-15"	"ZUG24S03DNA16-18"	"ZUG24S03DNA19-21"	"ZUG24S03DNA22-24"	"ZUG24S03DNA25-27"	"ZUG24S03DNA28-30"	"ZUG24S03DNA31-33"	"ZUG24S03DNA34-36"	"ZUG24S03DNA37-39"	"ZUG24S03DNA4-6"	"ZUG24S03DNA40-42"	"ZUG24S03DNA7-9"
"ASV2"	24.2958851151682	40.1445984330618	0.391433138988151	0.769496339997815	30.5131138708369	24.1978754190203	18.224794196756	0	0	0	0	0	14.9032142081682	0	12.8915824915825	0	30.5694962446075	6.99388661183983	11.8411793680951	0.341023254099192	5.60536062505726	0	9.56627085578885	4.03976975405547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5953706695046	7.76659740542728	34.2426851558134	7.94907210653067	0	0	0	0	0	0	32.3490341991803	0	0	25.7287908587425	57.086136987894	56.1152382034601	13.177911391596	6.8948441260811	49.6532252707102	42.7302839228592	44.2650074196155	0	0	0	0	49.0878491400793	0	25.3005335281019
"ASV4"	1.82442415900903	12.8023847426413	35.2533736129396	46.4113623948432	1.57845374059613	3.23269980381354	0.186954927051919	5.25300826636702	38.2794955950941	16.9497705794767	7.0359171030312	2.97777777777778	5.46464417709313	13.1163535386386	21.5808080808081	13.9098805305572	9.25227300070467	0.352305978541848	3.76468932517064	3.60747301768712	0.392623905560863	0.919934275919427	0.845366518497403	4.3265306122449	11.5084309328017	18.0218718118523	8.86111900028401	8.45522027495937	11.5585893060296	11.6843747678134	0.610479905036459	0.395424375088264	0	1.23332212131405	7.33723734068205	18.0360721442886	0	25	15.7627118644068	0	3.83435582822086	15.8241758241758	27.027027027027	3.20097244732577	2.91252541760894	22.2102895742379	2.6170299542303	22.3243377248902	13.9974737947212	9.23562058526741	0.610463866557758	0	3.81597444089457	6.8619022031166	0.387048572572956	4.16235015539441	1.85113215651783	6.54252687717943	1.24722056707698	6.41068435555808	17.7446915495178	25.4254334949462	3.01423857924223	7.96776107828743	10.630812166238	41.6552303146746	6.05005312241766	27.5921837477729	40.6273704877069	1.48463476414482	34.2377242306414	0.147854658541356
"ASV9"	20.8992834878355	13.0649717514124	15.4048923264999	22.8212826395717	13.0666436073621	0.601947446743871	41.8819789713913	3.77554751533143	2.76962054471123	2.40663648242122	0.555596528750891	0.203174603174603	2.46009380902462	0	7.68080808080808	0	2.80494302459481	0.351772989164326	1.11709239321652	26.4375973529222	14.4655734272141	10.5898939083514	3.24962809217969	17.9005756148613	0	0.178983730378909	0	0.16251592216805	0.202502844141069	0	0	0	5.37775445960126	1.19968606346003	0.964519462624871	0	11.7478510028653	0	12.7118644067797	0	1.12474437627812	0	0	0	4.70382546891925	0.426462462742901	0.874609144876966	1.04653633659159	1.13023080330047	0.978809283551968	0	1.12938865700958	0	5.74959699086513	1.23909487275272	0	0.427499028411299	19.106929546195	1.59775610748594	2.00491463310701	19.1901070851781	0.404224200476777	0.374233264686995	0.174954547281466	0.195388572182719	0	0	1.23944534820668	0	2.50534250035844	3.27402032349923	3.583549078197
"ASV18"	3.85251791280411	0	0	0.300753851196329	15.0568389684509	18.7051693331205	8.92697041323661	19.8299308937728	0.299418437266079	0	0	0	15.7836368857645	0	8.66228956228956	0	4.04327724593094	0.437584278945321	0.464428963478995	0	1.14646180423772	0.749538511471286	27.9567785210985	13.149136577708	1.2501038292217	1.81131535143455	0.461516614598126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41403435046187	0.427485989637619	0.332908343958068	0	0	0	0	0	0	4.33143764944188	0	0	3.69402850006636	0.0550800040692351	1.33749751427516	10.5644876061584	5.21460734974031	2.56759449943533	3.0600496019784	3.68148121919894	0	0	0.373770237818576	0	4.06644500126308	0	6.93276992695519
"ASV21"	11.5001214427397	2.24545057277523	0.0543657137483543	0	0	16.6037599831105	0	0	0	0	0	0	31.4776205473983	0	17.4858585858586	0	7.74710826186343	0.058095842149866	0.339525719513053	0.576974478557011	1.50636705100185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256811337053207	0	0	0	0	0	0	0	0	2.77973699577483	0	0	15.60746648648	0.801348660785653	2.53419647169114	4.57061528168984	0.0142035094184623	0	0	0	0	0	0	0	2.96619716386626	0	10.4267500360581
"ASV23"	0	0	0.103147921760391	0	0	0.848596571628657	0.261329366696552	0	0	0	0	0	0.0546324334546609	0	0	0	0	4.40089329019673	0	0	0	0	0.134510373333096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.5798065411148	0	1.58532348453951	0	0	0	0	0	0	0	9.36765433730407	0	0	0	9.65731227019721	0	0	0	0.359396797980469	0.680667758950462	0.66213227838526	0	0	0	0	6.7735394320905	0	18.1136116513423
"ASV25"	0	0	0.022921760391198	0.330733092974981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22836890214933	0	0.463739218440809	0	0	0	0	0	0	0	16.5411343624959	0	0	0.109197968073169	7.73169207516459	0.00301838015965456	0	0	0	0	0	0	0	0	0	7.19889121781698	0	15.2657135913666
"ASV31"	1.3361231429381	1.68672160314636	0	0.030328853927674	0.198553915536428	0.972178596623121	13.3415518787187	49.9693621824144	0	0	0	0	0.0224133060326814	0	0.109427609427609	0	3.57148995411031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157852600413891	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0272719912388728	0.222649607100219	1.46327420890631	0.501457560518906	0	0	0	0	0	0	0	0
"ASV33"	0.0920940776423916	0	6.46863832988527	2.51056484212826	4.62594038726328	0.194126764262138	0.0967886543320564	0	0	0	0	0	0.440561546704894	0	0	0	0	0	0.418689747378791	2.76689678055614	10.7107801437003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568594287451778	8.35881991299543	11.0051207685685	0	0	0	0	0	0	0	5.14990377729738	0	0	4.53262063057302	1.96544056736764	8.10754666060623	7.59013606166879	12.8653085040634	3.77820589472752	0	0	0	0	0	0	1.8553667379	0	5.17418859405038
"ASV34"	1.15851313605635	6.18581639978775	10.6327581342863	4.61916311591828	1.95593899040156	0	0	0	0	0	0	0	0.243978175043251	0	0.851178451178451	0	3.44860182527542	0	0	1.04703355853157	2.16074022693662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117823682560195	7.69577973369443	2.76884034984366	0	0	0	0	0	0	0	3.13455399732168	0	0	4.75463638886543	0.561263788167246	10.5091119570467	5.82640525326731	12.2998552777554	0	0	0	0	0	0	0	1.14496780844832	0	4.63921158232146
"ASV39"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715994652030117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21274776230022	0.522961268181075	1.5045089953324	0	0	0	0	0	0	0	13.6717153803932	0	0	0.307986534261617	5.13682803121685	1.22155620578961	0.242465047108104	0.681384573453257	0.042737881706858	0	0	0	0	0	0	10.6365256337605	0	4.02520312727421
"ASV50"	0	0.329306739082935	9.6474163061877	7.39587020648968	0.226823736006439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082951602348452	1.35455247418498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1798691040397	1.87761514176523	0	0	0	0	0	0	0	1.41131125852822	0	0	0.985798231113578	0.00973709834469328	0.795609499730121	1.7709749310743	14.132107992737	0.136406917779402	0	0	0	0	0	0	0.653389500706644	0	0.61420603365554
"ASV51"	0.0635044326600008	0.137341199238381	0.376445834116983	0.152605703048181	0	0	0	0	0	0	0	0	0.0478617472572884	0	0.371380471380471	0	0.21827681625217	0	0	0.812004018544291	0.609875799971208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10224055035062	8.0903353333489	12.1893929094727	0.0106247343816405	0	0	0	0	0	0	0.0353333540118866	0	0	2.88258503565525	0	0.348889236101247	4.57487653032091	5.55664321168219	17.6423304324719	11.4947501814562	1.25280448588985	0	0	0	0	0.136549529928243	0	0.0415573672782164
"ASV63"	0.486276970408452	0.501373411992384	0.109319164942637	0.123500491642085	1.1467569527129	5.71927313172299	0.287818893145326	0.257123918702092	0	0	0	0	2.37300877621014	0.748004903309734	2.26464646464646	0.598915054404064	2.27042263204029	10.3666433927972	20.0284990500317	4.42500714305465	4.01130756848015	8.15769722295474	3.85982415663778	6.22919937205651	8.38109477531356	4.15421238209447	0.726592824008331	9.63016646901217	7.7929465301479	5.83550040864849	0	0	0	0	0	0	6.87679083094556	0	0	0	0	0	0	0	1.50472244921229	0.542416672503288	1.45994773492848	0.865915852103697	1.41729958498056	0.625630676084763	1.03606895662267	0	2.4	0	1.02089118270985	2.22546988308421	0	0.803298864582453	0.707756252815765	1.00529814493906	0.808358865314715	0.441460427871124	0.416528266790673	0.359838947246475	0.227255901088961	0.35358509453154	2.76236571833314	2.54667286389341	0.316808710008478	0.443103224617149	0	0.415639532318262
"ASV69"	0.386845727239607	0	0	0	1.45107325541949	0	1.49614883038552	0	0	0	0	0	0.31401975639538	0	0.598316498316498	0	0.51002870254198	0	0	0	0	0	1.17852466171977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25425210467304	1.15175993587499	2.39875530581109	1.7601643292251	0	0	0	0	0	0	0.591901109764008	0	0	0.365602036753261	1.54863462628435	0.301305360643164	0.315332398699467	0.61689296312078	3.79680683806107	7.18874049275712	15.3951387838268	0	0	0	0	1.14735742522206	0	0.380075382825018
