"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"NA"	"ASV_ID"
"ASV2"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"	"ASV2"
"ASV4"	"unassigned"	"Chlorophyta"	"Trebouxiophyceae"	"unassigned"	"unassigned"	"Choricystis"	"Choricystis parasitica"	"NCBI"	"ASV4"
"ASV9"	"unassigned"	"unassigned"	"Eustigmatophyceae"	"Eustigmatales"	"Monodopsidaceae"	"Microchloropsis"	"Microchloropsis salina"	"NCBI"	"ASV9"
"ASV18"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV18"
"ASV21"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV21"
"ASV23"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV23"
"ASV25"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"	"ASV25"
"ASV31"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV31"
"ASV33"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV33"
"ASV34"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV34"
"ASV39"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"	"ASV39"
"ASV50"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"	"ASV50"
"ASV51"	"unassigned"	"Chlorophyta"	"Chlorophyceae"	"Sphaeropleales"	"Mychonastaceae"	"Mychonastes"	"Mychonastes homosphaera"	"NCBI"	"ASV51"
"ASV63"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"	"ASV63"
"ASV69"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"	"ASV69"
"ASV79"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. M30B3"	"NCBI"	"ASV79"
"ASV81"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV81"
"ASV82"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV82"
"ASV85"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"	"ASV85"
"ASV91"	"unassigned"	"Bacillariophyta"	"Fragilariophyceae"	"Fragilariales"	"Staurosiraceae"	"Nanofrustulum"	"Nanofrustulum shiloi"	"NCBI"	"ASV91"
"ASV95"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. 7M"	"NCBI"	"ASV95"
"ASV112"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV112"
"ASV131"	"unassigned"	"Chlorophyta"	"Trebouxiophyceae"	"Chlorellales"	"Chlorellaceae"	"Chlorella"	"Chlorella sorokiniana"	"NCBI"	"ASV131"
"ASV133"	"unassigned"	"unassigned"	"Eustigmatophyceae"	"Eustigmatales"	"Monodopsidaceae"	"Microchloropsis"	"Microchloropsis salina"	"NCBI"	"ASV133"
"ASV138"	"unassigned"	"Chlorophyta"	"Chlorophyceae"	"Sphaeropleales"	"Mychonastaceae"	"Mychonastes"	"Mychonastes homosphaera"	"NCBI"	"ASV138"
"ASV139"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV139"
"ASV140"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV140"
"ASV143"	"unassigned"	"Bacillariophyta"	"Coscinodiscophyceae"	"Stephanodiscales"	"Stephanodiscaceae"	"Stephanodiscus"	"Stephanodiscus hantzschii"	"NCBI"	"ASV143"
"ASV144"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"	"ASV144"
"ASV155"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV155"
"ASV169"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV169"
"ASV171"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV171"
"ASV181"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Tous-M-B4"	"NCBI"	"ASV181"
"ASV184"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV184"
"ASV190"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV190"
"ASV206"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV206"
"ASV218"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV218"
"ASV223"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV223"
"ASV241"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV241"
"ASV246"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Derbesiaceae"	"Pedobesia"	"Pedobesia claviformis"	"NCBI"	"ASV246"
"ASV250"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV250"
"ASV274"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"	"ASV274"
"ASV287"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Aphanizomenonaceae"	"Dolichospermum"	"Dolichospermum planctonicum"	"NCBI"	"ASV287"
"ASV288"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. SynAce01"	"NCBI"	"ASV288"
"ASV294"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"	"ASV294"
"ASV308"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV308"
"ASV333"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV333"
"ASV339"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV339"
"ASV344"	"unassigned"	"Chlorophyta"	"Trebouxiophyceae"	"unassigned"	"unassigned"	"Choricystis"	"Choricystis parasitica"	"NCBI"	"ASV344"
"ASV366"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV366"
"ASV371"	"unassigned"	"Rhodophyta"	"Compsopogonophyceae"	"Erythropeltidales"	"Erythrotrichiaceae"	"Erythrotrichia"	"Erythrotrichia longistipitata"	"NCBI"	"ASV371"
"ASV447"	"unassigned"	"Bacillariophyta"	"Fragilariophyceae"	"Fragilariales"	"Staurosiraceae"	"Nanofrustulum"	"Nanofrustulum shiloi"	"NCBI"	"ASV447"
"ASV458"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV458"
"ASV464"	"unassigned"	"Chlorophyta"	"Chlorophyceae"	"Chlorosarcinales"	"Chlorosarcinaceae"	"Chlorosarcina"	"Chlorosarcina stigmatica"	"NCBI"	"ASV464"
"ASV487"	"unassigned"	"Chlorophyta"	"Trebouxiophyceae"	"Trebouxiales"	"Trebouxiaceae"	"Lobosphaera"	"Lobosphaera incisa"	"NCBI"	"ASV487"
"ASV497"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Vulcanococcus"	"Vulcanococcus limneticus"	"NCBI"	"ASV497"
"ASV501"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. A10-1-5-1"	"NCBI"	"ASV501"
"ASV515"	"unassigned"	"Chlorophyta"	"Trebouxiophyceae"	"unassigned"	"unassigned"	"Choricystis"	"Choricystis parasitica"	"NCBI"	"ASV515"
"ASV531"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Aphanizomenonaceae"	"Dolichospermum"	"Dolichospermum planctonicum"	"NCBI"	"ASV531"
"ASV568"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV568"
"ASV597"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV597"
"ASV605"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV605"
"ASV613"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV613"
"ASV625"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. 7M"	"NCBI"	"ASV625"
"ASV635"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV635"
"ASV642"	"unassigned"	"unassigned"	"Cryptophyceae"	"Cryptomonadales"	"Cryptomonadaceae"	"Cryptomonas"	"Cryptomonas curvata"	"NCBI"	"ASV642"
